Test Name,Test Link,Remote Testing,Adaptive/IRT,Test Type,Description,Job Levels,Assessment Length,Tags
Production Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/production-engineering-new/,Yes,,K,"Multi-choice test that measures the knowledge of production technology and analysis, metal cutting, tool design, material science and CIM.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,"['Production Engineering', 'Manufacturing', 'Metal Cutting', 'Tool Design', 'Material Science', 'CIM', 'Production Technology', 'Production Analysis', 'Mechanical Engineering', 'Multiple Choice']"
Programming Concepts,https://www.shl.com/solutions/products/product-catalog/view/programming-concepts/,Yes,Yes,K,"The Programming Concepts test measures knowledge of the core aspects of computer science programming that is valid across programming languages. Designed for all programmers, this test covers the following topics:  Algorithms, Complex Data Types, Data Access, Productivity and Quality, Program Flow, Program Structure, Programming Paradigms, User Interface, Variables, Data Types, and Operators.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 25,"['programming concepts', 'algorithms', 'data structures', 'data access', 'productivity', 'code quality', 'program flow', 'program structure', 'programming paradigms', 'user interface', 'variables', 'data types', 'operators', 'computer science', 'all levels', 'foundational knowledge', 'language agnostic']"
Project Management (2013),https://www.shl.com/solutions/products/product-catalog/view/project-management-2013/,Yes,Yes,K,"The Project Management (2013) test measures knowledge of how to manage projects to ensure that objectives are completed on time and within budget. The test is based on Project Management Institute's (PMI's), Project Management Body of Knowledge (PMBOK) Fifth Edition methodology. Designed for all professionals, this test covers the following topics: Project Communications Management, Project Cost Management, Project Human Resource Management, Project Management Characteristics, Project Management Methodologies, Project Procurement Management, Project Quality Management, Project Risk Management, Project Scope Management, Project Stakeholder Management, and Project Time Management.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 30,"['Project Management', 'PMBOK', 'Project Management Institute (PMI)', 'Project Communications Management', 'Project Cost Management', 'Project Human Resource Management', 'Project Procurement Management', 'Project Quality Management', 'Project Risk Management', 'Project Scope Management', 'Project Stakeholder Management', 'Project Time Management', 'Project Planning', 'Budgeting', 'Time Management', 'Project Objectives', 'Resource Management']"
Proofreading v1,https://www.shl.com/solutions/products/product-catalog/view/proofreading-v1/,Yes,,K,"This assessment measures ability to read for errors involving spelling, punctuation, grammar and word choice.  It also measures ability to correct those errors.","Entry-Level, Mid-Professional,",Approximate Completion Time in minutes = 6,"['proofreading', 'grammar', 'punctuation', 'spelling', 'writing', 'editing', 'error detection', 'language skills']"
Python (New),https://www.shl.com/solutions/products/product-catalog/view/python-new/,Yes,,K,"Multi-choice test that measures the knowledge of Python programming, databases, modules and library.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 11,"['Python', 'Python programming', 'databases', 'modules', 'library', 'multi-choice', 'technical skills']"
R Programming (New),https://www.shl.com/solutions/products/product-catalog/view/r-programming-new/,Yes,,K,Multi-choice test that measures the knowledge of R programming and its application in statistics.,"Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 13,"['R Programming', 'Statistics', 'Data Analysis', 'Multi-choice', 'Programming Fundamentals']"
ReactJS (New),https://www.shl.com/solutions/products/product-catalog/view/reactjs-new/,Yes,,K,"Multi-choice test that measures the technical knowledge of React APIs, render function, JSX, form validation and styling.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,"['ReactJS', 'React APIs', 'JSX', 'Form Validation', 'Styling', 'Frontend Development', 'Multi-choice', 'Technical Knowledge']"
Reading Comprehension - English v1,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-english-v1/,Yes,Yes,A,"The Reading Comprehension - English 
assessment provides a general measure of 
English reading comprehension. This test is 
comprised of items that contain a passage 
that you must read in order to answer the 
question being asked. The questions focus 
on the candidate's ability to demonstrate an 
understanding of the passage. Questions 
may be specific in nature, with answers that 
can be found almost word for word in the 
passage.  For example, the question may ask 
for a date, name or place that can be found by 
closely reading through the passage. 
Alternatively, the questions may be general in 
nature, with answers that can be determined 
only by fully understanding the meaning of the 
passage. ""What is the theme of the 
passage?"" or ""What is the mood of the 
author?"" are examples of general questions 
the candidate may be asked.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 35,"['reading comprehension', 'english language', 'textual analysis', 'understanding passages', 'specific details', 'general understanding', 'theme identification', 'mood identification', 'language skills', 'comprehension skills']"
Reading Comprehension - Spanish v1,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-spanish-v1/,Yes,Yes,A,"The Reading Comprehension - Spanish assessment provides a general measure of Spanish reading comprehension. This test is comprised of items that contain a passage that must read in order to answer the question being asked. The questions focus on the ability to demonstrate an understanding of the passage. Questions may be specific in nature, with answers that can be found almost word for word in the passage. For example, the question may ask for a date, name or place that can be found by closely reading through the passage. Alternatively, the questions may be general in nature, with answers that can be determined only by fully understanding the meaning of the passage. ""What is the theme of the passage?"" or ""What is the mood of the author?"" are examples of general questions that may be asked.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 26,"['reading comprehension', 'Spanish', 'language proficiency', 'comprehension', 'written communication', 'attention to detail', 'critical thinking', 'language skills', 'reading skills']"
Reading Comprehension v2,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-v2/,Yes,Yes,A,"The Reading Comprehension - English 
assessment provides a general measure of 
English reading comprehension. This test is 
comprised of items that contain a passage 
that you must read in order to answer the 
question being asked. The questions focus 
on the candidate's ability to demonstrate an 
understanding of the passage. Questions 
may be specific in nature, with answers that 
can be found almost word for word in the 
passage.  For example, the question may ask 
for a date, name or place that can be found by 
closely reading through the passage. 
Alternatively, the questions may be general in 
nature, with answers that can be determined 
only by fully understanding the meaning of the 
passage. ""What is the theme of the 
passage?"" or ""What is the mood of the 
author?"" are examples of general questions 
the candidate may be asked.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 35,"['reading comprehension', 'english language', 'textual analysis', 'detail-oriented', 'inference', 'comprehension skills', 'critical reading', 'language proficiency']"
RemoteWorkQ,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq/,Yes,,C,"Using the Apta™ Architecture to focus on the relevant competency behaviors in the Universal Competency Framework, SHL developed the RemoteWorkQ to measure self-reported behavioral tendencies in competency areas that are important to performing effectively in remote work environments across three competency areas: 
o	Work Relationships
o	Work Habits
o	Self-Development & Well-Being
The RemoteWorkQ is intended for use across job families and levels for which working in a remote environment is important for the role. This report is designed to help you be more successful in a remote working environment by providing:
o	Insights into your identified strengths and potential risks for working remotely
o	Individualized coaching tips on how you can use your identified strengths to overcome risks","Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Front Line Manager, General Population, Graduate, Director, Entry-Level, Executive,",Approximate Completion Time in minutes = 10,"['Remote Work', 'Work Relationships', 'Work Habits', 'Self-Development', 'Well-Being', 'Behavioral Assessment', 'Self-Assessment', 'Competency Framework', 'Individual Strengths', 'Potential Risks', 'Coaching Tips', 'Remote Environment', 'Job Families', 'All Levels']"
RemoteWorkQ Manager Report,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq-manager-report/,Yes,,C,"Using the Apta™ Architecture to focus on the relevant competency behaviors in the Universal Competency Framework, SHL developed the RemoteWorkQ to measure self-reported behavioral tendencies in competency areas that are important to performing effectively in remote work environments across three competency areas: 
o	Work Relationships
o	Work Habits
o	Self-Development & Well-Being
The RemoteWorkQ is intended for use across job families and levels for which working in a remote environment is important for the role. This report is designed to help you be more successful in a remote working environment by providing:
o	Insights into your identified strengths and potential risks for working remotely
o	Individualized coaching tips on how you can use your identified strengths to overcome risks","Director, Executive, Front Line Manager, Graduate, General Population, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Entry-Level,",,"['remote work', 'remote work competency', 'work relationships', 'work habits', 'self-development', 'well-being', 'behavioral assessment', 'self-reported', 'strengths', 'weaknesses', 'coaching', 'individual development', 'remote work environment', 'all levels', 'all job families']"
RemoteWorkQ Participant Report,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq-participant-report/,Yes,,C,"Using the Apta™ Architecture to focus on the relevant competency behaviors in the Universal Competency Framework, SHL developed the RemoteWorkQ to measure self-reported behavioral tendencies in competency areas that are important to performing effectively in remote work environments across three competency areas: 
o	Work Relationships
o	Work Habits
o	Self-Development & Well-Being
The RemoteWorkQ is intended for use across job families and levels for which working in a remote environment is important for the role. This report is designed to help you be more successful in a remote working environment by providing:
o	Insights into your identified strengths and potential risks for working remotely
o	Individualized coaching tips on how you can use your identified strengths to overcome risks","General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director, Entry-Level, Executive, Front Line Manager,",,"['Remote Work', 'Work Relationships', 'Work Habits', 'Self-Development', 'Well-Being', 'Self-Assessment', 'Behavioral Tendencies', 'Competency Framework', 'Individual Coaching', 'Strengths', 'Weaknesses', 'Risk Assessment', 'Job Families', 'All Levels']"
RESTful Web Services (New),https://www.shl.com/solutions/products/product-catalog/view/restful-web-services-new/,Yes,,K,"Multi-choice test that measures the knowledge of REST features, architecture, handling requests, producing responses, entity translation, working with return types, security, filters, and interceptors.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 12,"['RESTful Web Services', 'REST APIs', 'API Design', 'Web Services', 'Multi-choice', 'Security', 'Filters', 'Interceptors', 'Architecture', 'Request Handling', 'Response Handling', 'Entity Translation', 'Return Types']"
Retail Sales and Service Simulation,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-and-service-simulation/,Yes,,BKSA,"The Retail Sales and Service Simulation measures the ability of a candidate to choose effective sales and service techniques while interacting with customers. Situations are presented to the candidate via computer-based animation, and the candidate is offered a set of behaviors from which to choose the most and least effective responses. The behaviors vary in the extent to which the sales associate may: direct a conversation toward a commitment or sale, listen carefully to customers and provide options that address what they really need/want, put aside work to assist a customer, and focus on meeting customer needs. Responses are tracked and compared against expert ratings of effectiveness. The test produces an overall score, as well as scores on two subscales, Customer Service Effectiveness and Sales Effectiveness.","Entry-Level,",Approximate Completion Time in minutes = 30,"['retail', 'sales', 'customer service', 'simulation', 'behavioral assessment', 'sales effectiveness', 'customer service effectiveness', 'communication skills', 'interpersonal skills', 'scenario-based', 'computer-based', 'candidate assessment', 'expert ratings']"
Reviewing Forms - US (R1),https://www.shl.com/solutions/products/product-catalog/view/reviewing-forms-us-r1/,Yes,,K,"This assessment measures ability to detect errors in forms by comparing text in a form to text in a paragraph format. Based on information in the paragraph, the test taker must select the answer that indicates the incorrect information.","Entry-Level, Mid-Professional,",Approximate Completion Time in minutes = 5,"['data entry', 'attention to detail', 'accuracy', 'error detection', 'form review', 'information comparison', 'reading comprehension', 'US forms', 'written comprehension', 'rule-based', 'text comparison']"
Ruby (New),https://www.shl.com/solutions/products/product-catalog/view/ruby-new/,Yes,,K,"Multi-choice test that measures the knowledge of Ruby strings, collection classes, regular expressions, methods, object oriented programming, exception handling, database connectivity, threads, scripting, network programming and web applications.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 11,"['Ruby', 'Strings', 'Collection Classes', 'Regular Expressions', 'Methods', 'Object Oriented Programming', 'Exception Handling', 'Database Connectivity', 'Threads', 'Scripting', 'Network Programming', 'Web Applications', 'Multi-choice']"
Ruby on Rails (New),https://www.shl.com/solutions/products/product-catalog/view/ruby-on-rails-new/,Yes,,K,"Multi-choice test that measures the knowledge of Ruby Programming, Rails installation, Rails MVC and Rails programming model.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 11,"['Ruby', 'Ruby on Rails', 'Rails', 'MVC', 'Multi-choice', 'Programming', 'Installation', 'Software Development']"
Sales & Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-simulation/,Yes,,SB,"As part of Contact Center Simulations, the Sales & Service Phone Simulation is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers. Sample tasks for these jobs include: interacting with customers on the phone to sell a product/service; adding new or upgraded products or services; extending promotional or retention offers; responding appropriately to customer objections; navigating to information menus to assist the customer and process information; and typing information quickly and accurately. Potential job titles that use this simulation include: telesales representative, outbound sales representative, telemarketer, and contact center representative.","Entry-Level,",Approximate Completion Time in minutes = 20,"['sales', 'service', 'phone simulation', 'contact center', 'customer service', 'telesales representative', 'outbound sales representative', 'telemarketer', 'contact center representative', 'customer retention', 'product recommendation', 'service recommendation', 'handling objections', 'information navigation', 'typing speed', 'typing accuracy', 'customer interaction', 'sales-related behaviors', 'upgrading products', 'extending offers']"
Sales & Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-solution/,Yes,,BPS,"As part of Contact Center Simulations, the Sales & Service Phone Solution includes a contact center simulation and three behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. This solution is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers. Sample tasks for these jobs include: interact with customers on the phone to sell a product/service; add new or upgraded products or services; extend promotional or retention offers; respond appropriately to customer objections; navigate to information menus to assist the customer and process information; and type information quickly and accurately. Potential job titles that use this simulation are: Telesales Representative, Telemarketer, and Contact Center Representative. The behavioral tests in this solution are intended to measure the candidate’s sales focus, learning potential, and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles involving sales or sales and service.","Entry-Level,",Approximate Completion Time in minutes = 35,"['Contact Center', 'Sales', 'Customer Service', 'Phone Skills', 'Communication Skills', 'Telesales Representative', 'Telemarketer', 'Contact Center Representative', 'Entry-Level', 'Behavioral Assessment', 'Simulation', 'Sales Focus', 'Learning Potential', 'Goal Orientation', 'Resilience', 'Typing Speed', 'Information Navigation', 'Customer Retention', 'Product Recommendation', 'Objection Handling', 'Contact Center Simulation', 'Sales Skills', 'Service Skills']"
Sales Interview Guide,https://www.shl.com/solutions/products/product-catalog/view/sales-interview-guide/,Yes,,PP,"The SHL Sales Model is mapped to the SHL Universal Competency Model (UCF). The Sales Model Interview guide was developed to enable you to use the Sales Report more effectively, by helping you prepare and execute you interviews more effectively.","Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = Untimed,"['sales', 'interview guide', 'sales competency', 'SHL Sales Model', 'SHL Universal Competency Model', 'UCF', 'interview preparation', 'interview execution', 'sales report']"
Sales Profiler Cards,https://www.shl.com/solutions/products/product-catalog/view/sales-profiler-cards/,Yes,,P,"The SHL Sales Model is mapped to the SHL Universal Competency Model (UCF). The Sales Model Profiler cards have been developed to enable you to use the Sales Report more effectively, by helping you to understand which competencies and motivators described in the report are most important to a specific sales role.","Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = Untimed,"['sales', 'sales skills', 'sales competencies', 'sales role', 'competency assessment', 'motivators', 'SHL Sales Model', 'SHL Universal Competency Model (UCF)', 'profiling', 'sales report']"
Sales Transformation 1.0 - Individual Contributor,https://www.shl.com/solutions/products/product-catalog/view/sales-transformation-report-individual-contributor/,Yes,,P,This report draws insights from the OPQ. It provides an accurate and objective measure of a salesperson’s ability to sell well in a digital first environment. Insights included in this report include individual scores and score narratives for the behaviours included in SHL’s Sales Transformation behavioural model.,"Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",,"['sales', 'sales transformation', 'individual contributor', 'OPQ', 'digital sales', 'sales behavior', 'behavioral assessment', 'sales performance', 'SHL', 'sales skills']"
Sales Transformation 2.0 - Individual Contributor,https://www.shl.com/solutions/products/product-catalog/view/salestransformationreport2-0-individualcontributor/,Yes,,P,This report draws insights from the OPQ. It provides an accurate and objective measure of a salesperson’s ability to sell well in a digital first environment. Insights included in this report include individual scores and score narratives for the behaviours included in SHL’s Sales Transformation behavioural model.,"Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",,"['sales', 'sales transformation', 'individual contributor', 'OPQ', 'digital sales', 'sales behavior', 'behavioral assessment', 'SHL', 'sales skills']"
Sales Transformation Report 1.0 - Sales Manager,https://www.shl.com/solutions/products/product-catalog/view/sales-transformation-report-sales-manager/,Yes,,P,"This report combines insights from the OPQ and a Sales Management questionnaire. It provides an accurate and objective measure of a sales manager’s capability to lead a sales team undergoing a sales transformation process. Insights included in this report include an overall job-fit score, and individual scores and score narratives for the behaviours included in SHL’s Sales Transformation behavioural model.","Director, Executive, Front Line Manager, Manager, Supervisor,",,"['Sales Management', 'Sales Transformation', 'Leadership', 'Sales Team Management', 'OPQ', 'SHL Sales Transformation Behavioral Model', 'Job-Fit Score', 'Behavioral Assessment', 'Managerial Assessment', 'Sales Manager']"
Sales Transformation Report 2.0 - Sales Manager,https://www.shl.com/solutions/products/product-catalog/view/sales-transformation-report-2-0-sales-manager/,Yes,,P,"This report combines insights from the OPQ and a Sales Management questionnaire. It provides an accurate and objective measure of a sales manager’s capability to lead a sales team undergoing a sales transformation process. Insights included in this report include an overall job-fit score, and individual scores and score narratives for the behaviours included in SHL’s Sales Transformation behavioural model.","Director, Executive, Front Line Manager, Manager, Supervisor,",,"['Sales Management', 'Sales Transformation', 'Leadership', 'Sales Team', 'Job-fit', 'Behavioral Assessment', 'OPQ', 'Questionnaire', 'SHL', 'Manager', 'Report']"
Salesforce Development (New),https://www.shl.com/solutions/products/product-catalog/view/salesforce-development-new/,Yes,,K,"Multi-choice test that measures the knowledge of Salesforce platform, design and data models, business logic, data management and analytics.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 15,"['Salesforce', 'Salesforce Development', 'Apex', 'Lightning Web Components', 'LWC', 'SOQL', 'Data Models', 'Business Logic', 'Data Management', 'Salesforce Analytics', 'Multi-choice', 'Platform Development', 'CRM', 'Junior Salesforce Developer']"
SAP ABAP (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-abap-advanced-level-new/,Yes,,K,"Multi-choice test that measures the knowledge of SAP ABAP dictionary, dialog programming, reports, enhancements, workflows, optimizations and advanced ABAP concepts like Netweaver applications and Adobe forms.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 12,"['SAP ABAP', 'ABAP Dictionary', 'Dialog Programming', 'Reports', 'Enhancements', 'Workflows', 'Optimizations', 'Netweaver Applications', 'Adobe Forms', 'Advanced Level', 'Multi-choice Questions']"
SAP ABAP (Intermediate Level) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-abap-intermediate-level-new/,Yes,,K,"Multi-choice test that measures the knowledge of SAP ABAP dictionary, elements, operations, architecture, ABAP data types, ABAP reporting, batch data communication, dialog programming, EDI, ALE, IDOC interface, BADI, BAPI and function module.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 9,"['SAP ABAP', 'ABAP Dictionary', 'ABAP Reporting', 'Batch Data Communication', 'Dialog Programming', 'EDI', 'ALE', 'IDOC Interface', 'BADI', 'BAPI', 'Function Module', 'Intermediate Level', 'Multi-Choice']"
SAP Basis (New),https://www.shl.com/solutions/products/product-catalog/view/sap-basis-new/,Yes,,K,"Multi-choice test that measures the knowledge of SAP architecture, database administration, background processing, user administration, client administration, system administration, monitoring and transport management.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 9,"['SAP Basis', 'SAP Architecture', 'Database Administration', 'Background Processing', 'User Administration', 'Client Administration', 'System Administration', 'Monitoring', 'Transport Management', 'Multiple Choice', 'System Administrator', 'SAP Administrator']"
SAP Business Objects WebI (New),https://www.shl.com/solutions/products/product-catalog/view/sap-business-objects-webi-new/,Yes,,K,"Multi-choice test that measures the knowledge of SAP interactive analysis, reporting, formatting and scheduling documents.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,"['SAP BusinessObjects', 'Web Intelligence', 'WebI', 'Reporting', 'Interactive Analysis', 'Data Visualization', 'Document Formatting', 'Scheduling', 'Multiple Choice Question', 'MCQ']"
SAP BW (Business Warehouse) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-bw-business-warehouse-new/,Yes,,K,"Multi-choice test that measures the knowledge of SAP architecture, meta data, data modelling, extraction, loading, scheduling, data reporting, performance tuning and SAP BW/BI integration.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 9,"['SAP BW', 'SAP Business Warehouse', 'SAP BI', 'Business Intelligence', 'Data Warehousing', 'Data Modeling', 'Data Extraction', 'Data Loading', 'Data Reporting', 'SAP Architecture', 'Metadata', 'Scheduling', 'Performance Tuning', 'Multi-choice', 'Intermediate']"
SAP HCM (Human Capital Management) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-hcm-human-capital-management-new/,Yes,,K,"Multi-choice test that measures the knowledge of SAP HR/ HCM structure, personnel administration, SAP HCM tasks, SAP HCM SuccessFactors solutions.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = TBC,"['SAP HCM', 'Human Capital Management', 'SAP HR', 'Personnel Administration', 'SAP HCM Tasks', 'SAP SuccessFactors', 'Multi-choice', 'HCM structure']"
SAP Hybris (New),https://www.shl.com/solutions/products/product-catalog/view/sap-hybris-new/,Yes,,K,"Multi-choice test that measures the knowledge of Hybris extensions, its architecture, configuration, data modelling and management, service layer programming, cockpit framework and workflows.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 20,"['SAP Hybris', 'Hybris Extensions', 'Hybris Architecture', 'Hybris Configuration', 'Data Modelling', 'Data Management', 'Service Layer Programming', 'Cockpit Framework', 'Workflows', 'Multiple Choice Questions', 'eCommerce']"
SAP Materials Management (New),https://www.shl.com/solutions/products/product-catalog/view/sap-materials-management-new/,Yes,,K,"Multi-choice test that measures the knowledge of SAP materials management, organization units integration, purchasing, pricing, release procedure, contracts, inventory management, invoice verification, split valuation, account determination and integration of materials management with other modules.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,"['SAP Materials Management', 'SAP MM', 'Materials Management', 'Purchasing', 'Pricing', 'Release Procedure', 'Contracts', 'Inventory Management', 'Invoice Verification', 'Split Valuation', 'Account Determination', 'SAP Integration', 'ERP', 'Multiple Choice', 'SAP ERP']"
SAP SD (Sales and Distribution) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-sd-sales-and-distribution-new/,Yes,,K,"Multi-choice test that measures the knowledge of ERP basics, SAP architecture, sales, distribution, master data, documents, basic functions in S&D, billing process, order and delivery processing.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 8,"['SAP SD', 'Sales and Distribution', 'ERP', 'SAP architecture', 'Sales', 'Distribution', 'Master Data', 'Billing Process', 'Order Processing', 'Delivery Processing', 'Multiple Choice', 'Functional Consultant', 'SAP Consultant']"
Search Engine Optimization (New),https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,Yes,,K,"Multi-choice test that measures the knowledge on the concepts of need of SEO, SEO planning, SEO strategies, SEO software, tools and exchanging links.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 12,"['Search Engine Optimization', 'SEO', 'SEO Planning', 'SEO Strategies', 'SEO Tools', 'Link Building', 'Digital Marketing', 'Marketing', 'Multi-choice', 'Knowledge Assessment']"
Selenium (New),https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,Yes,,K,"Multi-choice test that measures the knowledge of Selenium IDE, Selenium RC, Selenium grid, web driver, test design considerations, user extensions, frameworks and object repository.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,"['Selenium IDE', 'Selenium RC', 'Selenium Grid', 'WebDriver', 'Test Design', 'User Extensions', 'Testing Frameworks', 'Object Repository', 'Automation Testing', 'QA Engineer', 'Software Testing', 'Multi-choice']"
Shell Scripting (New),https://www.shl.com/solutions/products/product-catalog/view/shell-scripting-new/,Yes,,K,"Multi-choice test that measures the knowledge of Shell scripting to perform operations such as file manipulation, program execution and printing text.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,"['Shell Scripting', 'Linux', 'Bash', 'File Manipulation', 'Program Execution', 'Text Processing', 'Command Line Interface', 'System Administration', 'Multi-choice', 'Scripting', 'New']"
SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,Yes,Yes,AS,Evaluates ability to identify specific patterns in data or situations and generalize that information to broader contexts.,"Professional Individual Contributor, Graduate, Manager, Mid-Professional,",Approximate Completion Time in minutes = 20,"['Inductive Reasoning', 'Pattern Recognition', 'Data Analysis', 'Abstract Reasoning', 'Logical Reasoning', 'Cognitive Ability', 'Problem Solving', 'Critical Thinking']"
SHL Verify Interactive – Deductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-deductive-reasoning/,Yes,Yes,AS,"Measures the ability to draw logical conclusions based on information provided, identify strengths and weaknesses of arguments, and complete scenarios using incomplete information.","Graduate, Manager, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 20,"['Deductive Reasoning', 'Logical Reasoning', 'Critical Thinking', 'Problem Solving', 'Cognitive Ability', 'SHL Verify Interactive', 'Abstract Reasoning', 'Argument Analysis', 'Incomplete Information', 'Scenario-Based', 'Reasoning Skills']"
SHL Verify Interactive – Numerical Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-reasoning/,Yes,Yes,AS,Assesses how the candidate comprehends numerical information in various formats.,"Graduate, Manager, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 20,"['numerical reasoning', 'data interpretation', 'numerical comprehension', 'SHL Verify Interactive', 'cognitive ability', 'aptitude', 'numerical data analysis', 'quantitative reasoning']"
SHL Verify Interactive G+,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-g/,Yes,Yes,A,"SHL Verify Interactive G+ (SVIG+) is a test of general cognitive ability that also generates accurate assessments of three specific abilities: Deductive Reasoning, Inductive Reasoning, and Numerical Reasoning. The candidate will see questions measuring all three abilities. Candidates will receive a score on each of the specific abilities as well as a general ability score. This test is appropriate for all job levels, however it is most relevant for positions that require cognitive ability across a range of specific skills. 
Completion time is 36 minutes for the test itself, plus 10 minutes for instructions and practice.","Graduate, Manager, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 36,"['cognitive ability', 'deductive reasoning', 'inductive reasoning', 'numerical reasoning', 'general cognitive ability', 'aptitude', 'all job levels', '36 minutes', 'timed assessment']"
SHL Verify Interactive Numerical Calculation,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,Yes,Yes,A,"The Verify Interactive Numerical Calculation test measures a candidate’s ability to work with numbers and use appropriate mathematics in different situations. The Numerical Ability test requires candidates to understand order of operations, perform numerical calculations, and identify errors in calculations. The Numerical Calculation test, though it is adaptive, is ideal for entry-level jobs that require completing simple numerical calculations quickly and accurately.","Entry-Level,",Approximate Completion Time in minutes = 10,"['Numerical Calculation', 'Numerical Reasoning', 'Mathematics', 'Error Identification', 'Adaptive Assessment', 'Entry-Level', 'Accuracy', 'Speed', 'SHL Verify', 'Interactive Assessment']"
Siebel Development (New),https://www.shl.com/solutions/products/product-catalog/view/siebel-development-new/,Yes,,K,"Multi-choice test that measures the knowledge of Siebel basics, architecture server administration, access control, Siebel client and web applications, Siebel models, data mapping, workflow and deployment.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 8,"['Siebel', 'Siebel Development', 'Siebel Architecture', 'Siebel Server Administration', 'Siebel Access Control', 'Siebel Client', 'Siebel Web Applications', 'Siebel Data Mapping', 'Siebel Workflow', 'Siebel Deployment', 'Multi-choice', 'CRM']"
